{'sf': 'dile', 'freq': '1529', 'analysis': 'Stem-dat', 'segmentation': 'dil-e', 'ur': 'dil-A', 'predicted_sr': 'dil-A'}
{'sf': 'gerʧeklere', 'freq': '73', 'analysis': 'Stem-pl-dat', 'segmentation': 'gerʧek-ler-e', 'ur': 'gerʧek-lAr-A', 'predicted_sr': 'gerʧek-lAr-A'}
{'sf': 'hesɑplɑrɯɯn', 'freq': '73', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'hesɑp-lɑr-ɯ-ɯn', 'ur': 'hesɑp-lAr-H-Hn', 'predicted_sr': 'hesɑp-lAr-I-In'}
{'sf': 'ipler', 'freq': '73', 'analysis': 'Stem-pl', 'segmentation': 'ip-ler', 'ur': 'ip-lAr', 'predicted_sr': 'ip-lAr'}
{'sf': 'kɑnsere', 'freq': '73', 'analysis': 'Stem-dat', 'segmentation': 'kɑnser-e', 'ur': 'kɑnser-A', 'predicted_sr': 'kɑnser-A'}
{'sf': 'kɑvrɑmlɑrɯɯn', 'freq': '73', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'kɑvrɑm-lɑr-ɯ-ɯn', 'ur': 'kɑvrɑm-lAr-H-Hn', 'predicted_sr': 'kɑvrɑm-lAr-I-In'}
{'sf': 'kesitler', 'freq': '73', 'analysis': 'Stem-pl', 'segmentation': 'kesit-ler', 'ur': 'kesit-lAr', 'predicted_sr': 'kesit-lAr'}
{'sf': 'kitɑplɑrdɑn', 'freq': '73', 'analysis': 'Stem-pl-abl', 'segmentation': 'kitɑp-lɑr-dɑn', 'ur': 'kitɑp-lAr-dAn', 'predicted_sr': 'kitɑp-lAr-dAn'}
{'sf': 'koʃɑn', 'freq': '73', 'analysis': 'Stem-part:pres', 'segmentation': 'koʃ-ɑn', 'ur': 'koʃ-An', 'predicted_sr': 'koʃ-An'}
{'sf': 'komplikɑsjonlɑrɯ', 'freq': '73', 'analysis': 'Stem-pl-acc', 'segmentation': 'komplikɑsjon-lɑr-ɯ', 'ur': 'komplikɑsjon-lAr-H', 'predicted_sr': 'komplikɑsjon-lAr-I'}
{'sf': 'liseleri', 'freq': '73', 'analysis': 'Stem-pl-p3s', 'segmentation': 'lise-ler-i', 'ur': 'lise-lAr-H', 'predicted_sr': 'lise-lAr-I'}
{'sf': 'mɑɰɑzɑlɑr', 'freq': '73', 'analysis': 'Stem-pl', 'segmentation': 'mɑɰɑzɑ-lɑr', 'ur': 'mɑɰɑzɑ-lAr', 'predicted_sr': 'mɑɰɑzɑ-lAr'}
{'sf': 'miktɑrdɑki', 'freq': '73', 'analysis': 'Stem-loc-ki', 'segmentation': 'miktɑr-dɑ-ki', 'ur': 'miktɑr-dA-ki', 'predicted_sr': 'miktɑr-dA-ki'}
{'sf': 'minimumɑ', 'freq': '73', 'analysis': 'Stem-dat', 'segmentation': 'minimum-ɑ', 'ur': 'minimum-A', 'predicted_sr': 'minimum-A'}
{'sf': 'numɑrɑɑ', 'freq': '73', 'analysis': 'Stem-dat', 'segmentation': 'numɑrɑ-ɑ', 'ur': 'numɑrɑ-A', 'predicted_sr': 'numɑrɑ-A'}
{'sf': 'odɑmɯzɑ', 'freq': '73', 'analysis': 'Stem-p1p-dat', 'segmentation': 'odɑ-mɯz-ɑ', 'ur': 'odɑ-mHz-A', 'predicted_sr': 'odɑ-mɯz-A'}
{'sf': 'sɑntrɑllɑr', 'freq': '73', 'analysis': 'Stem-pl', 'segmentation': 'sɑntrɑl-lɑr', 'ur': 'sɑntrɑl-lAr', 'predicted_sr': 'sɑntrɑl-lAr'}
{'sf': 'sevijelere', 'freq': '73', 'analysis': 'Stem-pl-dat', 'segmentation': 'sevije-ler-e', 'ur': 'sevije-lAr-A', 'predicted_sr': 'sevije-lAr-A'}
{'sf': 'sokɑn', 'freq': '73', 'analysis': 'Stem-part:pres', 'segmentation': 'sok-ɑn', 'ur': 'sok-An', 'predicted_sr': 'sok-An'}
{'sf': 'tɑʃɯɑrɑk', 'freq': '73', 'analysis': 'Stem-cv:erek', 'segmentation': 'tɑʃɯ-ɑrɑk', 'ur': 'tɑʃɯ-ArAk', 'predicted_sr': 'tɑʃɯ-ArAk'}
{'sf': 'tɑnɯmlɑmɑɯ', 'freq': '73', 'analysis': 'Stem-la-vn:inf-p3s', 'segmentation': 'tɑnɯm-lɑ-mɑ-ɯ', 'ur': 'tɑnɯm-lA-mA-H', 'predicted_sr': 'tɑnɯm-lA-mA-I'}
{'sf': 'telefonnuzu', 'freq': '73', 'analysis': 'Stem-p2p-acc', 'segmentation': 'telefon-nuz-u', 'ur': 'telefon-nHz-H', 'predicted_sr': 'telefon-nUz-U'}
{'sf': 'teminɑtɑ', 'freq': '73', 'analysis': 'Stem-dat', 'segmentation': 'teminɑt-ɑ', 'ur': 'teminɑt-A', 'predicted_sr': 'teminɑt-A'}
{'sf': 'teminɑtlɑrɯ', 'freq': '73', 'analysis': 'Stem-pl-p3s', 'segmentation': 'teminɑt-lɑr-ɯ', 'ur': 'teminɑt-lAr-H', 'predicted_sr': 'teminɑt-lAr-I'}
{'sf': 'tijɑtroɑ', 'freq': '73', 'analysis': 'Stem-dat', 'segmentation': 'tijɑtro-ɑ', 'ur': 'tijɑtro-A', 'predicted_sr': 'tijɑtro-A'}
{'sf': 'usullere', 'freq': '73', 'analysis': 'Stem-pl-dat', 'segmentation': 'usul-ler-e', 'ur': 'usul-lAr-A', 'predicted_sr': 'usul-lAr-A'}
{'sf': 'jøntemlerden', 'freq': '73', 'analysis': 'Stem-pl-abl', 'segmentation': 'jøntem-ler-den', 'ur': 'jøntem-lAr-dAn', 'predicted_sr': 'jøntem-lAr-dAn'}
{'sf': 'jɑʃɑmdɑn', 'freq': '73', 'analysis': 'Stem-abl', 'segmentation': 'jɑʃɑm-dɑn', 'ur': 'jɑʃɑm-dAn', 'predicted_sr': 'jɑʃɑm-dAn'}
{'sf': 'jɑnsɯmɑlɑrɯ', 'freq': '73', 'analysis': 'Stem-vn:inf-pl-p3s', 'segmentation': 'jɑnsɯ-mɑ-lɑr-ɯ', 'ur': 'jɑnsɯ-mA-lAr-H', 'predicted_sr': 'jɑnsɯ-mA-lAr-I'}
{'sf': 'jɑsɑklɑr', 'freq': '73', 'analysis': 'Stem-pl', 'segmentation': 'jɑsɑk-lɑr', 'ur': 'jɑsɑk-lAr', 'predicted_sr': 'jɑsɑk-lAr'}
{'sf': 'zehirlenme', 'freq': '73', 'analysis': 'Stem-lan-vn:inf', 'segmentation': 'zehir-len-me', 'ur': 'zehir-lAn-mA', 'predicted_sr': 'zehir-lAn-mA'}
{'sf': 'zirvede', 'freq': '73', 'analysis': 'Stem-loc', 'segmentation': 'zirve-de', 'ur': 'zirve-dA', 'predicted_sr': 'zirve-dA'}
{'sf': 'ʧɑbɑlɑrɯn', 'freq': '72', 'analysis': 'Stem-pl-gen', 'segmentation': 'ʧɑbɑ-lɑr-ɯn', 'ur': 'ʧɑbɑ-lAr-Hn', 'predicted_sr': 'ʧɑbɑ-lAr-In'}
{'sf': 'ʧɑlɯʃmɑtɑn', 'freq': '72', 'analysis': 'Stem-vn:inf-abl', 'segmentation': 'ʧɑlɯʃ-mɑ-tɑn', 'ur': 'ʧɑlɯʃ-mA-dAn', 'predicted_sr': 'ʧɑlɯʃ-mA-dAn'}
{'sf': 'ʧɑlmɑɑ', 'freq': '72', 'analysis': 'Stem-vn:inf-dat', 'segmentation': 'ʧɑl-mɑ-ɑ', 'ur': 'ʧɑl-mA-A', 'predicted_sr': 'ʧɑl-mA-A'}
{'sf': 'øzyrlye', 'freq': '72', 'analysis': 'Stem-dat', 'segmentation': 'øzyrly-e', 'ur': 'øzyrly-A', 'predicted_sr': 'øzyrly-A'}
{'sf': 'ɑboneleriin', 'freq': '72', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'ɑbone-ler-i-in', 'ur': 'ɑbone-lAr-H-Hn', 'predicted_sr': 'ɑbone-lAr-I-In'}
{'sf': 'ɑlɑbiljor', 'freq': '72', 'analysis': 'Stem-abil-cont', 'segmentation': 'ɑl-ɑbil-jor', 'ur': 'ɑl-Abil-jor', 'predicted_sr': 'ɑl-Abil-jor'}
{'sf': 'ɑnɯlɑrɯ', 'freq': '72', 'analysis': 'Stem-pl-p3s', 'segmentation': 'ɑnɯ-lɑr-ɯ', 'ur': 'ɑnɯ-lAr-H', 'predicted_sr': 'ɑnɯ-lAr-I'}
{'sf': 'ɑnlɑtmɑ', 'freq': '72', 'analysis': 'Stem-vn:inf', 'segmentation': 'ɑnlɑt-mɑ', 'ur': 'ɑnlɑt-mA', 'predicted_sr': 'ɑnlɑt-mA'}
{'sf': 'ɑrɑʧlɑrdɑn', 'freq': '72', 'analysis': 'Stem-pl-abl', 'segmentation': 'ɑrɑʧ-lɑr-dɑn', 'ur': 'ɑrɑʧ-lAr-dAn', 'predicted_sr': 'ɑrɑʧ-lAr-dAn'}
{'sf': 'ɑrɑplɑr', 'freq': '72', 'analysis': 'Stem-pl', 'segmentation': 'ɑrɑp-lɑr', 'ur': 'ɑrɑp-lAr', 'predicted_sr': 'ɑrɑp-lAr'}
{'sf': 'ɑrɑziler', 'freq': '72', 'analysis': 'Stem-pl', 'segmentation': 'ɑrɑzi-ler', 'ur': 'ɑrɑzi-lAr', 'predicted_sr': 'ɑrɑzi-lAr'}
{'sf': 'ɑrkɑdɑʃlɑrmɯzɑ', 'freq': '72', 'analysis': 'Stem-pl-p1p-dat', 'segmentation': 'ɑrkɑdɑʃ-lɑr-mɯz-ɑ', 'ur': 'ɑrkɑdɑʃ-lAr-mHz-A', 'predicted_sr': 'ɑrkɑdɑʃ-lAr-mIz-A'}
{'sf': 'bɑjileri', 'freq': '72', 'analysis': 'Stem-pl-p3s', 'segmentation': 'bɑji-ler-i', 'ur': 'bɑji-lAr-H', 'predicted_sr': 'bɑji-lAr-I'}
{'sf': 'beledijemize', 'freq': '72', 'analysis': 'Stem-p1p-dat', 'segmentation': 'beledije-miz-e', 'ur': 'beledije-mHz-A', 'predicted_sr': 'beledije-miz-A'}
{'sf': 'birimde', 'freq': '72', 'analysis': 'Stem-loc', 'segmentation': 'birim-de', 'ur': 'birim-dA', 'predicted_sr': 'birim-dA'}
{'sf': 'ʤisimlerin', 'freq': '72', 'analysis': 'Stem-pl-gen', 'segmentation': 'ʤisim-ler-in', 'ur': 'ʤisim-lAr-Hn', 'predicted_sr': 'ʤisim-lAr-In'}
{'sf': 'eserlerden', 'freq': '72', 'analysis': 'Stem-pl-abl', 'segmentation': 'eser-ler-den', 'ur': 'eser-lAr-dAn', 'predicted_sr': 'eser-lAr-dAn'}
{'sf': 'gøkjyzynde', 'freq': '72', 'analysis': 'Stem-p2s-loc', 'segmentation': 'gøkjyzy-n-de', 'ur': 'gøkjyzy-n-dA', 'predicted_sr': 'gøkjyzy-n-dA'}
{'sf': 'hemʃireler', 'freq': '72', 'analysis': 'Stem-pl', 'segmentation': 'hemʃire-ler', 'ur': 'hemʃire-lAr', 'predicted_sr': 'hemʃire-lAr'}
{'sf': 'kɯzɑ', 'freq': '72', 'analysis': 'Stem-dat', 'segmentation': 'kɯz-ɑ', 'ur': 'kɯz-A', 'predicted_sr': 'kɯz-A'}
{'sf': 'køpekler', 'freq': '72', 'analysis': 'Stem-pl', 'segmentation': 'køpek-ler', 'ur': 'køpek-lAr', 'predicted_sr': 'køpek-lAr'}
{'sf': 'kɑdemede', 'freq': '72', 'analysis': 'Stem-loc', 'segmentation': 'kɑdeme-de', 'ur': 'kɑdeme-dA', 'predicted_sr': 'kɑdeme-dA'}
{'sf': 'kɑdrolɑrɑ', 'freq': '72', 'analysis': 'Stem-pl-dat', 'segmentation': 'kɑdro-lɑr-ɑ', 'ur': 'kɑdro-lAr-A', 'predicted_sr': 'kɑdro-lAr-A'}
{'sf': 'kɑnɑmɑɯ', 'freq': '72', 'analysis': 'Stem-vn:inf-p3s', 'segmentation': 'kɑnɑ-mɑ-ɯ', 'ur': 'kɑnɑ-mA-H', 'predicted_sr': 'kɑnɑ-mA-I'}
{'sf': 'kɑnunlɑrdɑ', 'freq': '72', 'analysis': 'Stem-pl-loc', 'segmentation': 'kɑnun-lɑr-dɑ', 'ur': 'kɑnun-lAr-dA', 'predicted_sr': 'kɑnun-lAr-dA'}
{'sf': 'kɑjɑʧlɑr', 'freq': '72', 'analysis': 'Stem-pl', 'segmentation': 'kɑjɑʧ-lɑr', 'ur': 'kɑjɑʧ-lAr', 'predicted_sr': 'kɑjɑʧ-lAr'}
{'sf': 'kemiklerin', 'freq': '72', 'analysis': 'Stem-pl-gen', 'segmentation': 'kemik-ler-in', 'ur': 'kemik-lAr-Hn', 'predicted_sr': 'kemik-lAr-In'}
{'sf': 'kooperɑtifler', 'freq': '72', 'analysis': 'Stem-pl', 'segmentation': 'kooperɑtif-ler', 'ur': 'kooperɑtif-lAr', 'predicted_sr': 'kooperɑtif-lAr'}
{'sf': 'kopmɑ', 'freq': '72', 'analysis': 'Stem-vn:inf', 'segmentation': 'kop-mɑ', 'ur': 'kop-mA', 'predicted_sr': 'kop-mA'}
{'sf': 'lɑborɑtuvɑrɑ', 'freq': '72', 'analysis': 'Stem-dat', 'segmentation': 'lɑborɑtuvɑr-ɑ', 'ur': 'lɑborɑtuvɑr-A', 'predicted_sr': 'lɑborɑtuvɑr-A'}
{'sf': 'mydyrler', 'freq': '72', 'analysis': 'Stem-pl', 'segmentation': 'mydyr-ler', 'ur': 'mydyr-lAr', 'predicted_sr': 'mydyr-lAr'}
{'sf': 'myhendisleriin', 'freq': '72', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'myhendis-ler-i-in', 'ur': 'myhendis-lAr-H-Hn', 'predicted_sr': 'myhendis-lAr-I-In'}
{'sf': 'memuruun', 'freq': '72', 'analysis': 'Stem-p3s-gen', 'segmentation': 'memur-u-un', 'ur': 'memur-H-Hn', 'predicted_sr': 'memur-U-Un'}
{'sf': 'nedenlerin', 'freq': '72', 'analysis': 'Stem-pl-gen', 'segmentation': 'neden-ler-in', 'ur': 'neden-lAr-Hn', 'predicted_sr': 'neden-lAr-In'}
{'sf': 'nesnee', 'freq': '72', 'analysis': 'Stem-dat', 'segmentation': 'nesne-e', 'ur': 'nesne-A', 'predicted_sr': 'nesne-A'}
{'sf': 'odɑlɑrɑ', 'freq': '72', 'analysis': 'Stem-pl-dat', 'segmentation': 'odɑ-lɑr-ɑ', 'ur': 'odɑ-lAr-A', 'predicted_sr': 'odɑ-lAr-A'}
{'sf': 'rɑdjou', 'freq': '72', 'analysis': 'Stem-p3s', 'segmentation': 'rɑdjo-u', 'ur': 'rɑdjo-H', 'predicted_sr': 'rɑdjo-U'}
{'sf': 'reklɑmlɑr', 'freq': '72', 'analysis': 'Stem-pl', 'segmentation': 'reklɑm-lɑr', 'ur': 'reklɑm-lAr', 'predicted_sr': 'reklɑm-lAr'}
{'sf': 'riske', 'freq': '72', 'analysis': 'Stem-dat', 'segmentation': 'risk-e', 'ur': 'risk-A', 'predicted_sr': 'risk-A'}
{'sf': 'tørenleri', 'freq': '72', 'analysis': 'Stem-pl-p3s', 'segmentation': 'tøren-ler-i', 'ur': 'tøren-lAr-H', 'predicted_sr': 'tøren-lAr-I'}
{'sf': 'tytynde', 'freq': '72', 'analysis': 'Stem-loc', 'segmentation': 'tytyn-de', 'ur': 'tytyn-dA', 'predicted_sr': 'tytyn-dA'}
{'sf': 'tɑʃlɑrɯn', 'freq': '72', 'analysis': 'Stem-pl-gen', 'segmentation': 'tɑʃ-lɑr-ɯn', 'ur': 'tɑʃ-lAr-Hn', 'predicted_sr': 'tɑʃ-lAr-In'}
{'sf': 'tepkileri', 'freq': '72', 'analysis': 'Stem-pl-acc', 'segmentation': 'tepki-ler-i', 'ur': 'tepki-lAr-H', 'predicted_sr': 'tepki-lAr-I'}
{'sf': 'ulɑʃmɑɑ', 'freq': '72', 'analysis': 'Stem-vn:inf-dat', 'segmentation': 'ulɑʃ-mɑ-ɑ', 'ur': 'ulɑʃ-mA-A', 'predicted_sr': 'ulɑʃ-mA-A'}
{'sf': 'uzɑklɑrɑ', 'freq': '72', 'analysis': 'Stem-pl-dat', 'segmentation': 'uzɑk-lɑr-ɑ', 'ur': 'uzɑk-lAr-A', 'predicted_sr': 'uzɑk-lAr-A'}
{'sf': 'jɑnmɯzdɑ', 'freq': '72', 'analysis': 'Stem-p1p-loc', 'segmentation': 'jɑn-mɯz-dɑ', 'ur': 'jɑn-mHz-dA', 'predicted_sr': 'jɑn-mɯz-dA'}
{'sf': 'ʧɑbɑlɑrɯɯn', 'freq': '71', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'ʧɑbɑ-lɑr-ɯ-ɯn', 'ur': 'ʧɑbɑ-lAr-H-Hn', 'predicted_sr': 'ʧɑbɑ-lAr-I-In'}
{'sf': 'ʧɑlɯʃmɑlɑrnɯzdɑ', 'freq': '71', 'analysis': 'Stem-pl-p2p-loc', 'segmentation': 'ʧɑlɯʃmɑ-lɑr-nɯz-dɑ', 'ur': 'ʧɑlɯʃmɑ-lAr-nHz-dA', 'predicted_sr': 'ʧɑlɯʃmɑ-lAr-nIz-dA'}
{'sf': 'ødeen', 'freq': '71', 'analysis': 'Stem-part:pres', 'segmentation': 'øde-en', 'ur': 'øde-An', 'predicted_sr': 'øde-An'}
{'sf': 'ølme', 'freq': '71', 'analysis': 'Stem-vn:inf', 'segmentation': 'øl-me', 'ur': 'øl-mA', 'predicted_sr': 'øl-mA'}
{'sf': 'ɑɰlɑrɯɯn', 'freq': '71', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'ɑɰ-lɑr-ɯ-ɯn', 'ur': 'ɑɰ-lAr-H-Hn', 'predicted_sr': 'ɑɰ-lAr-I-In'}
{'sf': 'ɑʃɯnmɑɑ', 'freq': '71', 'analysis': 'Stem-vn:inf-dat', 'segmentation': 'ɑʃɯn-mɑ-ɑ', 'ur': 'ɑʃɯn-mA-A', 'predicted_sr': 'ɑʃɯn-mA-A'}
{'sf': 'ɑdɑdɑki', 'freq': '71', 'analysis': 'Stem-loc-ki', 'segmentation': 'ɑdɑ-dɑ-ki', 'ur': 'ɑdɑ-dA-ki', 'predicted_sr': 'ɑdɑ-dA-ki'}
{'sf': 'ɑrɑlɯklɑrɯ', 'freq': '71', 'analysis': 'Stem-pl-p3s', 'segmentation': 'ɑrɑlɯk-lɑr-ɯ', 'ur': 'ɑrɑlɯk-lAr-H', 'predicted_sr': 'ɑrɑlɯk-lAr-I'}
{'sf': 'bɑʃɑrmɑ', 'freq': '71', 'analysis': 'Stem-vn:inf', 'segmentation': 'bɑʃɑr-mɑ', 'ur': 'bɑʃɑr-mA', 'predicted_sr': 'bɑʃɑr-mA'}
{'sf': 'beʤerileriin', 'freq': '71', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'beʤeri-ler-i-in', 'ur': 'beʤeri-lAr-H-Hn', 'predicted_sr': 'beʤeri-lAr-I-In'}
{'sf': 'bejɑnlɑr', 'freq': '71', 'analysis': 'Stem-pl', 'segmentation': 'bejɑn-lɑr', 'ur': 'bejɑn-lAr', 'predicted_sr': 'bejɑn-lAr'}
{'sf': 'birimlerden', 'freq': '71', 'analysis': 'Stem-pl-abl', 'segmentation': 'birim-ler-den', 'ur': 'birim-lAr-dAn', 'predicted_sr': 'birim-lAr-dAn'}
{'sf': 'birliklerin', 'freq': '71', 'analysis': 'Stem-pl-gen', 'segmentation': 'birlik-ler-in', 'ur': 'birlik-lAr-Hn', 'predicted_sr': 'birlik-lAr-In'}
{'sf': 'dyʃeni', 'freq': '71', 'analysis': 'Stem-cv:ye-p2s-acc', 'segmentation': 'dyʃ-e-n-i', 'ur': 'dyʃ-A-n-H', 'predicted_sr': 'dyʃ-A-n-I'}
{'sf': 'dykkɑnlɑrɯn', 'freq': '71', 'analysis': 'Stem-pl-gen', 'segmentation': 'dykkɑn-lɑr-ɯn', 'ur': 'dykkɑn-lAr-Hn', 'predicted_sr': 'dykkɑn-lAr-In'}
{'sf': 'dɑɰɯtmɑ', 'freq': '71', 'analysis': 'Stem-vn:inf', 'segmentation': 'dɑɰɯt-mɑ', 'ur': 'dɑɰɯt-mA', 'predicted_sr': 'dɑɰɯt-mA'}
{'sf': 'dokulɑrɯn', 'freq': '71', 'analysis': 'Stem-pl-gen', 'segmentation': 'doku-lɑr-ɯn', 'ur': 'doku-lAr-Hn', 'predicted_sr': 'doku-lAr-In'}
{'sf': 'efektleri', 'freq': '71', 'analysis': 'Stem-pl-p3s', 'segmentation': 'efekt-ler-i', 'ur': 'efekt-lAr-H', 'predicted_sr': 'efekt-lAr-I'}
{'sf': 'ekipmɑnlɑr', 'freq': '71', 'analysis': 'Stem-pl', 'segmentation': 'ekipmɑn-lɑr', 'ur': 'ekipmɑn-lAr', 'predicted_sr': 'ekipmɑn-lAr'}
{'sf': 'ejlemlere', 'freq': '71', 'analysis': 'Stem-pl-dat', 'segmentation': 'ejlem-ler-e', 'ur': 'ejlem-lAr-A', 'predicted_sr': 'ejlem-lAr-A'}
{'sf': 'gyvende', 'freq': '71', 'analysis': 'Stem-loc', 'segmentation': 'gyven-de', 'ur': 'gyven-dA', 'predicted_sr': 'gyven-dA'}
{'sf': 'gɑzlɑrɯ', 'freq': '71', 'analysis': 'Stem-pl-p3s', 'segmentation': 'gɑz-lɑr-ɯ', 'ur': 'gɑz-lAr-H', 'predicted_sr': 'gɑz-lAr-I'}
{'sf': 'geʧiʃte', 'freq': '71', 'analysis': 'Stem-vn:yis-loc', 'segmentation': 'geʧ-iʃ-te', 'ur': 'geʧ-Hʃ-dA', 'predicted_sr': 'geʧ-iʃ-dA'}
{'sf': 'geʧmete', 'freq': '71', 'analysis': 'Stem-vn:inf-loc', 'segmentation': 'geʧ-me-te', 'ur': 'geʧ-mA-dA', 'predicted_sr': 'geʧ-mA-dA'}
{'sf': 'genʧlermizin', 'freq': '71', 'analysis': 'Stem-pl-p1p-gen', 'segmentation': 'genʧ-ler-miz-in', 'ur': 'genʧ-lAr-mHz-Hn', 'predicted_sr': 'genʧ-lAr-mIz-In'}
{'sf': 'grɑfiksel', 'freq': '71', 'analysis': 'Stem-sal', 'segmentation': 'grɑfik-sel', 'ur': 'grɑfik-sAl', 'predicted_sr': 'grɑfik-sAl'}
{'sf': 'hɑstɑneden', 'freq': '71', 'analysis': 'Stem-abl', 'segmentation': 'hɑstɑne-den', 'ur': 'hɑstɑne-dAn', 'predicted_sr': 'hɑstɑne-dAn'}
{'sf': 'ihtijɑʧlɑrɯn', 'freq': '71', 'analysis': 'Stem-pl-gen', 'segmentation': 'ihtijɑʧ-lɑr-ɯn', 'ur': 'ihtijɑʧ-lAr-Hn', 'predicted_sr': 'ihtijɑʧ-lAr-In'}
{'sf': 'insɑnlɑrmɯzɯn', 'freq': '71', 'analysis': 'Stem-pl-p1p-gen', 'segmentation': 'insɑn-lɑr-mɯz-ɯn', 'ur': 'insɑn-lAr-mHz-Hn', 'predicted_sr': 'insɑn-lAr-mIz-In'}
{'sf': 'istɑsjonlɑrɯɯn', 'freq': '71', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'istɑsjon-lɑr-ɯ-ɯn', 'ur': 'istɑsjon-lAr-H-Hn', 'predicted_sr': 'istɑsjon-lAr-I-In'}
{'sf': 'kɑnɑlɑ', 'freq': '71', 'analysis': 'Stem-dat', 'segmentation': 'kɑnɑl-ɑ', 'ur': 'kɑnɑl-A', 'predicted_sr': 'kɑnɑl-A'}
{'sf': 'kontrolyyn', 'freq': '71', 'analysis': 'Stem-p3s-gen', 'segmentation': 'kontrol-y-yn', 'ur': 'kontrol-H-Hn', 'predicted_sr': 'kontrol-U-Un'}
{'sf': 'koruʤulɑr', 'freq': '71', 'analysis': 'Stem-pl', 'segmentation': 'koruʤu-lɑr', 'ur': 'koruʤu-lAr', 'predicted_sr': 'koruʤu-lAr'}
{'sf': 'menyler', 'freq': '71', 'analysis': 'Stem-pl', 'segmentation': 'meny-ler', 'ur': 'meny-lAr', 'predicted_sr': 'meny-lAr'}
{'sf': 'mejveleri', 'freq': '71', 'analysis': 'Stem-pl-acc', 'segmentation': 'mejve-ler-i', 'ur': 'mejve-lAr-H', 'predicted_sr': 'mejve-lAr-I'}
{'sf': 'mikroorgɑnizmɑlɑrɯn', 'freq': '71', 'analysis': 'Stem-pl-gen', 'segmentation': 'mikroorgɑnizmɑ-lɑr-ɯn', 'ur': 'mikroorgɑnizmɑ-lAr-Hn', 'predicted_sr': 'mikroorgɑnizmɑ-lAr-In'}
{'sf': 'oʤɑklɑrdɑ', 'freq': '71', 'analysis': 'Stem-pl-loc', 'segmentation': 'oʤɑk-lɑr-dɑ', 'ur': 'oʤɑk-lAr-dA', 'predicted_sr': 'oʤɑk-lAr-dA'}
{'sf': 'ortɑklɑrɯɯn', 'freq': '71', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'ortɑk-lɑr-ɯ-ɯn', 'ur': 'ortɑk-lAr-H-Hn', 'predicted_sr': 'ortɑk-lAr-I-In'}
{'sf': 'portføjy', 'freq': '71', 'analysis': 'Stem-p3s', 'segmentation': 'portføj-y', 'ur': 'portføj-H', 'predicted_sr': 'portføj-U'}
{'sf': 'role', 'freq': '71', 'analysis': 'Stem-dat', 'segmentation': 'rol-e', 'ur': 'rol-A', 'predicted_sr': 'rol-A'}
{'sf': 'sonlɑrɯ', 'freq': '71', 'analysis': 'Stem-pl-p3s', 'segmentation': 'son-lɑr-ɯ', 'ur': 'son-lAr-H', 'predicted_sr': 'son-lAr-I'}
{'sf': 'sormɑ', 'freq': '71', 'analysis': 'Stem-vn:inf', 'segmentation': 'sor-mɑ', 'ur': 'sor-mA', 'predicted_sr': 'sor-mA'}
{'sf': 'tɑblodɑki', 'freq': '71', 'analysis': 'Stem-loc-ki', 'segmentation': 'tɑblo-dɑ-ki', 'ur': 'tɑblo-dA-ki', 'predicted_sr': 'tɑblo-dA-ki'}
{'sf': 'tɑrɑmɑlɑrɯ', 'freq': '71', 'analysis': 'Stem-pl-p3s', 'segmentation': 'tɑrɑmɑ-lɑr-ɯ', 'ur': 'tɑrɑmɑ-lAr-H', 'predicted_sr': 'tɑrɑmɑ-lAr-I'}
{'sf': 'vɑtɑndɑʃlɑrɯɯn', 'freq': '71', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'vɑtɑndɑʃ-lɑr-ɯ-ɯn', 'ur': 'vɑtɑndɑʃ-lAr-H-Hn', 'predicted_sr': 'vɑtɑndɑʃ-lAr-I-In'}
{'sf': 'jɑrɑrlɑnmɑɯ', 'freq': '71', 'analysis': 'Stem-lan-vn:inf-p3s', 'segmentation': 'jɑrɑr-lɑn-mɑ-ɯ', 'ur': 'jɑrɑr-lAn-mA-H', 'predicted_sr': 'jɑrɑr-lAn-mA-I'}
{'sf': 'ʧɯkmɑɯ', 'freq': '70', 'analysis': 'Stem-vn:inf-acc', 'segmentation': 'ʧɯk-mɑ-ɯ', 'ur': 'ʧɯk-mA-H', 'predicted_sr': 'ʧɯk-mA-I'}
{'sf': 'ʃehirleri', 'freq': '70', 'analysis': 'Stem-pl-p3s', 'segmentation': 'ʃehir-ler-i', 'ur': 'ʃehir-lAr-H', 'predicted_sr': 'ʃehir-lAr-I'}
{'sf': 'yrynlermizi', 'freq': '70', 'analysis': 'Stem-pl-p1p-acc', 'segmentation': 'yryn-ler-miz-i', 'ur': 'yryn-lAr-mHz-H', 'predicted_sr': 'yryn-lAr-mIz-I'}
{'sf': 'ɑlɯʤɯlɑr', 'freq': '70', 'analysis': 'Stem-pl', 'segmentation': 'ɑlɯʤɯ-lɑr', 'ur': 'ɑlɯʤɯ-lAr', 'predicted_sr': 'ɑlɯʤɯ-lAr'}
